"artist","track","plays","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature","duration_s","liked"
"Trivecta","Shatterpoint",70,0.576,0.975,"A",-4.952,"Minor",0.233,0.114,0.742,0.0835,0.487,150.046,"4/4",250,1
"Trivecta","Talk (feat. Bright Sparks)",54,0.448,0.731,"G#",-4.726,"Major",0.106,0.0271,0,0.131,0.206,169.943,"4/4",206,1
"Trivecta","Tornado",55,0.41,0.76,"B",-5.121,"Major",0.0484,0.0117,0,0.185,0.18,166.048,"4/4",190,1
"Trivecta","Twilight of the Gods",1,0.432,0.978,"G#",-3.112,"Minor",0.183,0.00372,0.000657,0.124,0.315,149.925,"4/4",254,0
"Trivecta","Waiting For You (feat. RUNN)",31,0.366,0.679,"D#",-6.888,"Major",0.0372,0.0335,3.06e-06,0.0867,0.181,148.013,"4/4",258,1
"Trivecta","Wasteland",58,0.284,0.558,"A",-4.329,"Minor",0.0352,0.548,3.39e-06,0.0908,0.0701,142.076,"4/4",264,1
"Trivecta","Wasteland - Wooli Remix",72,0.284,0.558,"A",-4.329,"Minor",0.0352,0.548,3.39e-06,0.0908,0.0701,142.076,"4/4",264,1
"Trivecta","You Can Be My Light (feat. Monika Santucci)",32,0.324,0.632,"C#",-4.858,"Major",0.039,0.212,0,0.0624,0.412,73.041,"4/4",269,1
"Tropkillaz","Assets",1,0.719,0.801,"C",-4.612,"Major",0.0409,0.00116,0.000103,0.0719,0.85,100.03,"4/4",199,0
"Trouble","Ain't My Fault",1,0.862,0.599,"C",-7.131,"Minor",0.398,0.25,0,0.0939,0.768,157.001,"4/4",171,0
"Trouble","Bring It Back (with Drake & Mike WiLL Made-It)",3,0.882,0.32,"F#",-5.943,"Minor",0.389,0.215,8.28e-06,0.108,0.222,152.067,"4/4",256,0
"Trouble","Come Thru",1,0.737,0.663,"B",-4.097,"Minor",0.218,0.113,0,0.322,0.771,76.994,"4/4",202,0
"Trouble","Come Thru (with Mike WiLL Made-It feat. The Weeknd)",1,0.737,0.663,"B",-4.097,"Minor",0.218,0.113,0,0.322,0.771,76.994,"4/4",202,0
"Trouble","Rider",1,0.675,0.793,"B",-4.806,"Minor",0.106,0.0226,0,0.11,0.376,169.959,"4/4",232,0
"Troy Ave","She Belongs to the Game",1,0.656,0.393,"A",-9.19,"Minor",0.416,0.0185,0.000604,0.0903,0.535,93.978,"4/4",247,0
"TroyBoi","O.G",8,0.7,0.681,"B",-4.277,"Major",0.0364,0.0542,0.432,0.626,0.622,134.008,"4/4",219,1
"TroyBoi","WARLORDZ (feat. Skrillex)",2,0.627,0.81,"C#",-6.122,"Major",0.0906,0.0538,0.486,0.0925,0.233,144.904,"4/4",199,0
"Troye Sivan","Dance to This (feat. Ariana Grande)",1,0.736,0.756,"B",-7.099,"Major",0.047,0.00632,0.00577,0.106,0.712,117.016,"4/4",232,0
"Troye Sivan","My My My!",28,0.701,0.458,"C#",-7.749,"Major",0.0836,0.00407,0.000151,0.045,0.482,102.967,"4/4",205,1
"Troye Sivan","The Good Side",1,0.426,0.284,"D",-15.492,"Major",0.0616,0.406,0.00335,0.362,0.311,112.039,"4/4",269,0
"Troye Sivan","YOUTH - Gryffin Remix",1,0.559,0.67,"E",-6.301,"Minor",0.0404,0.0823,0.0171,0.106,0.338,104.004,"4/4",222,0
"Tujamo","Drop It",1,0.747,0.897,"F",-4.257,"Minor",0.0642,0.0104,0.763,0.0541,0.177,126.036,"4/4",176,0
"Tujamo","Make U Love Me",1,0.739,0.879,"D",-4.014,"Major",0.149,0.142,0.00428,0.531,0.383,124.928,"4/4",188,0
"TV Noise","808",4,0.73,0.969,"C#",-4.34,"Major",0.118,0.00038,0.179,0.159,0.259,127.968,"4/4",155,0
"twenty one pilots","Jumpsuit",3,0.62,0.61,"B",-8.329,"Minor",0.0373,0.00849,0.162,0.205,0.235,127.052,"4/4",239,0
"twenty one pilots","Morph",1,0.734,0.607,"G#",-7.249,"Minor",0.0806,0.0747,0.000577,0.0968,0.518,90.023,"4/4",259,0
"twenty one pilots","Nico and the Niners",1,0.728,0.602,"A",-7.748,"Minor",0.185,0.0699,7.01e-06,0.318,0.328,140.081,"4/4",225,0
"Twenty One Pilots","Chlorine",1,0.609,0.674,"A#",-7.388,"Minor",0.0548,0.0735,0.06,0.345,0.315,90.009,"4/4",324,0
"Twenty One Pilots","Levitate",1,0.7,0.934,"F#",-5.941,"Minor",0.17,0.0857,0.226,0.114,0.224,92.973,"4/4",146,0
"Twenty One Pilots","My Blood",1,0.749,0.723,"C#",-6.609,"Major",0.0432,0.0563,0.022,0.0977,0.674,108.999,"4/4",229,0
"Twenty One Pilots","Neon Gravestones",1,0.73,0.427,"B",-9.834,"Minor",0.138,0.379,0.000309,0.0893,0.392,149.45,"3/4",240,0
"Twenty One Pilots","Smithereens",1,0.764,0.548,"F#",-7.627,"Major",0.14,0.296,1.01e-05,0.0769,0.519,151.02,"4/4",177,0
"TWICE","1 to 10",1,0.621,0.839,"C#",-3.509,"Minor",0.271,0.109,0,0.167,0.701,88.497,"4/4",175,0
"TWICE","Alcohol-Free",1,0.688,0.909,"G#",-1.992,"Major",0.0624,0.0474,1.35e-06,0.0674,0.702,97.097,"4/4",211,0
"TWICE","CHEER UP",1,0.551,0.885,"F#",-1.489,"Major",0.124,0.139,0,0.114,0.509,172.95,"4/4",209,0
"TWICE","CRY FOR ME",41,0.702,0.692,"A#",-5.405,"Major",0.0539,0.0542,0,0.0877,0.419,144.896,"4/4",204,1
"TWICE","Dance the Night Away",2,0.709,0.861,"C",-2.905,"Major",0.0941,0.106,4.73e-05,0.113,0.779,118.089,"4/4",181,0
"TWICE","FANCY",44,0.697,0.874,"F",-2.15,"Minor",0.0449,0.0122,0,0.627,0.775,132.018,"4/4",214,1
"TWICE","Feel Special",39,0.708,0.959,"C#",-1.338,"Major",0.0604,0.0296,0.00188,0.107,0.644,128.981,"4/4",207,1
"TWICE","Heart Shaker",1,0.564,0.944,"G#",-0.532,"Major",0.0647,0.105,0,0.154,0.857,164.062,"4/4",187,0
"TWICE","I CAN'T STOP ME",46,0.657,0.88,"A#",-3.672,"Minor",0.102,0.121,0,0.463,0.769,150.084,"4/4",205,1
"TWICE","Kura Kura",2,0.734,0.714,"G",-4.351,"Major",0.0986,0.166,0,0.0648,0.761,130.999,"4/4",228,0
