"","artist","track","plays","spotify_id","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature","duration"
"201","Caroline Polachek","Breathless",7,"179YXh5spiRaUDJihittPG",0.627,0.494,"E",-7.741,"Major",0.042,0.113,0,0.136,0.213,129.914,"4/4",3M 2S
"202","Caroline Polachek","Bunny is a Rider",1,"1rYABrDmfqVmJMwaNJBUUb",0.792,0.662,"F#",-7.187,"Minor",0.0476,0.0714,0.0023,0.0982,0.399,110.001,"4/4",3M 17S
"203","Caroline Polachek","Caroline Shut Up",1,"6uEBCC605XCODjtwzae93h",0.548,0.449,"C#",-5.272,"Major",0.0267,0.12,0,0.14,0.111,97.55,"3/4",3M 33S
"204","Caroline Polachek","Hit Me Where It Hurts",6,"2wcrQZ7ZJolYEfIaPP9yL4",0.732,0.523,"E",-6.939,"Major",0.0314,0.133,0.000103,0.264,0.261,116.961,"4/4",3M 4S
"205","Caroline Polachek","Ocean of Tears",2,"4RqBss578GNj4u9VYZK5u0",0.572,0.442,"D",-7.473,"Major",0.0375,0.101,1.22e-06,0.0984,0.132,76.973,"4/4",3M 25S
"206","Caroline Polachek","Pang",1,"5bcJwBywjaz78KTf374PCb",0.707,0.681,"B",-8.335,"Major",0.0368,0.296,1.98e-06,0.12,0.547,100.999,"4/4",3M 34S
"207","Caroline Polachek","So Hot You're Hurting My Feelings",22,"5B6Kjha6RRIMWGN7zGsAaT",0.795,0.576,"F#",-4.971,"Major",0.0289,0.0787,1.01e-05,0.121,0.847,111.975,"4/4",3M 4S
"208","Cautious Clay","Cheesin'",2,"6lIRYe72fn1pf7TNqfI0ul",0.818,0.623,"A",-5.901,"Minor",0.043,0.201,0,0.112,0.968,120.104,"4/4",2M 18S
"209","Cavetown","Lemon Boy",1,"3Yvk0ZLxMlt6ioasvdN6vB",0.509,0.478,"E",-10.051,"Major",0.0392,0.185,1.4e-06,0.0891,0.323,139.926,"4/4",4M 33S
"210","Cavetown","Meteor Shower",1,"6A2itXgDf96XHp9qR6oyPN",0.512,0.488,"F",-10.31,"Major",0.0328,0.428,5.1e-05,0.109,0.141,170.017,"3/4",4M 25S
"211","Ce Ce Peniston","Finally",2,"0uqvSVhGgQTIdj9G51vhvv",0.791,0.658,"G",-11.128,"Major",0.0445,0.00653,0,0.0472,0.842,120.066,"4/4",4M 5S
"212","CHANMINA","Dahlia",10,"2GYs3fgqDO7tZcv86fnXbJ",0.601,0.45,"F",-6.056,"Major",0.0306,0.00501,8.31e-05,0.0944,0.197,129.944,"4/4",3M 33S
"213","CHANMINA","I'm a Pop",1,"4KcCRwvfNEdLShOdkEOxCA",0.667,0.825,"F",-5.144,"Minor",0.0378,0.00476,0.000304,0.197,0.811,149.936,"4/4",3M 11S
"214","Charli Adams","10th Avenue",1,"2pdxTRTuNY3f4OSPjLAKIB",0.486,0.462,"D#",-7.399,"Major",0.0296,0.743,8.45e-05,0.121,0.255,128.869,"4/4",3M 23S
"215","Charli XCX","Gone",5,"1yUJK3qxPiFiPeAG2gLfuW",0.91,0.441,"F#",-7.575,"Major",0.0693,0.0414,8.8e-06,0.0745,0.66,114.002,"4/4",4M 6S
"216","Charli XCX","Lipgloss (feat. CupcakKe)",4,"7niKxzFThgRf5fXlIYdjtZ",0.744,0.816,"C",-4.312,"Major",0.0572,0.0586,0,0.358,0.383,120.025,"4/4",3M 55S
