"danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_s","liked","mode_major","time_signature_0/4","time_signature_1/4","time_signature_3/4","time_signature_4/4","time_signature_5/4","key_A","key_A#","key_B","key_C","key_C#","key_D","key_D#","key_E","key_F","key_F#","key_G","key_G#"
0.593,0.632,-5.381,0.541,0.0133,0,0.64,0.0789,173.369,235,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.959,0.55,-8.012,0.197,0.0187,0,0.112,0.798,130.024,191,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0.845,0.399,-7.509,0.309,0.00525,0.74,0.102,0.148,143.049,258,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
0.825,0.733,-5.625,0.0969,0.349,0,0.112,0.62,97.974,190,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
0.63,0.399,-9.869,0.178,0.105,0.174,0.234,0.0657,183.016,214,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.825,0.364,-7.635,0.121,0.141,0.311,0.195,0.177,153.028,190,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0.819,0.626,-4.574,0.202,0.00748,0.101,0.167,0.415,143.01,196,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0.775,0.566,-6.661,0.283,0.0381,0.000341,0.127,0.479,160.351,232,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
0.727,0.496,-10.386,0.178,0.0893,0.00011,0.0987,0.504,130.061,210,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0.774,0.706,-6.494,0.355,0.00163,1.28e-06,0.104,0.382,152.891,185,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0.821,0.671,-5.893,0.18,0.00843,8.5e-05,0.0972,0.494,145.953,188,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
0.607,0.371,-14.255,0.894,0.742,0.000164,0.403,0.945,102.481,57,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.814,0.659,-4.475,0.0811,0.00161,0.0254,0.499,0.13,88.521,173,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0.849,0.635,-4.068,0.254,0.000608,8.44e-06,0.062,0.798,89.484,141,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0.926,0.544,-6.827,0.0727,0.413,9.54e-05,0.112,0.656,115.951,232,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0.835,0.413,-9.81,0.396,0.373,0.00133,0.101,0.111,149.004,259,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
0.715,0.778,-6.546,0.0365,0.0152,0,0.121,0.756,123.954,167,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.803,0.738,-4.946,0.294,0.528,0,0.112,0.323,139.948,178,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
0.607,0.766,-5.65,0.0475,0.193,0,0.131,0.425,160.008,181,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
0.686,0.541,-4.993,0.0493,0.042,0,0.0675,0.724,120.082,112,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
0.831,0.727,-3.657,0.169,0.447,0,0.111,0.703,125.068,213,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.911,0.379,-7.823,0.412,0.0107,1.69e-06,0.15,0.191,120.044,128,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
0.701,0.716,-3.671,0.0361,0.174,0,0.324,0.732,91.007,141,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0.746,0.717,-4.841,0.179,0.199,0,0.132,0.523,150.964,179,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
0.545,0.865,-5.708,0.0286,0.00664,1.1e-05,0.168,0.543,99.009,234,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
0.179,0.912,-3.881,0.0791,0.0014,0.000294,0.582,0.289,182.99,232,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.402,0.723,-5.26,0.0579,0.0663,2e-06,0.233,0.224,160.047,327,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.613,0.645,-6.036,0.0258,0.0332,1.33e-05,0.126,0.481,86.975,179,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.454,0.768,-5.716,0.0509,0.00488,1.54e-06,0.0943,0.0794,128.041,221,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
0.455,0.356,-7.141,0.0296,0.732,0,0.111,0.306,129.834,176,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.526,0.89,-5.673,0.0649,0.136,0,0.134,0.226,137.046,221,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
0.483,0.898,-5.623,0.0406,0.00268,0.944,0.136,0.0393,149.991,195,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0.672,0.866,-5.646,0.044,0.00653,0.00823,0.189,0.354,124.014,221,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0.571,0.752,-4.872,0.0293,0.0196,6.92e-05,0.114,0.25,102.043,193,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0.563,0.85,-4.79,0.0845,0.0349,0,0.107,0.458,123.969,178,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0.625,0.811,-4.875,0.0399,0.0842,2.8e-05,0.258,0.146,139.978,212,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
0.48,0.905,-4.369,0.0623,0.00126,0,0.125,0.23,140.042,195,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
0.679,0.842,-4.551,0.0335,0.107,1.98e-06,0.479,0.26,139.947,197,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.589,0.819,-6.019,0.0352,0.00323,0.000843,0.458,0.416,99.964,160,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
0.609,0.845,-5.517,0.0537,0.0207,0,0.273,0.128,107.979,194,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0.574,0.955,-4.929,0.0385,0.00893,0.016,0.23,0.148,120.037,199,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0.649,0.909,-4.176,0.0339,0.002,0.341,0.34,0.329,131.992,209,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
0.485,0.845,-4.679,0.193,0.0246,9.34e-05,0.275,0.0741,160.083,186,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
0.613,0.925,-1.579,0.0622,0.00383,1.52e-06,0.0913,0.467,154.908,194,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.485,0.845,-4.679,0.193,0.0246,9.34e-05,0.275,0.0741,160.083,186,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
0.534,0.957,-4.025,0.0455,8.05e-05,0.758,0.266,0.52,95.046,157,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
0.496,0.789,-3.648,0.0839,0.183,0,0.34,0.286,127.961,210,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
0.669,0.349,-7.771,0.032,0.902,0,0.0806,0.536,117.707,171,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
0.643,0.742,-7.2,0.0412,0.0671,0.00379,0.161,0.294,125.001,229,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
0.633,0.869,-4.528,0.0575,0.00617,0.0349,0.218,0.573,127.979,243,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
0.652,0.803,-5.366,0.0433,0.0156,1.95e-05,0.0608,0.52,97.053,191,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.685,0.716,-5.64,0.0284,0.0153,0.00961,0.412,0.202,122.016,185,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
0.773,0.733,-5.143,0.0413,0.00547,0.137,0.0345,0.48,124.006,242,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
0.637,0.654,-9.613,0.0584,0.028,0.21,0.16,0.254,137.989,197,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0.409,0.855,-4.82,0.0385,0.00975,1.2e-05,0.19,0.078,173.981,228,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.675,0.833,-3.345,0.101,0.000318,0.0686,0.227,0.284,124.98,179,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
0.546,0.896,-4.681,0.0288,0.00124,0.000153,0.138,0.257,90.028,165,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
0.53,0.996,-4.415,0.0661,0.00016,0.0534,0.356,0.0435,121.014,223,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.593,0.729,-5.505,0.0567,0.000646,0.255,0.0821,0.142,172.055,256,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0.47,0.951,-4.429,0.055,0.00175,1.87e-05,0.35,0.242,146.924,186,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0.576,0.797,-5.476,0.0499,0.0166,3.23e-05,0.21,0.137,110.051,206,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
0.66,0.789,-4.892,0.0642,0.0571,1.69e-05,0.102,0.315,140.03,189,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0.486,0.812,-5.329,0.0284,0.00028,0.0224,0.22,0.0396,129.942,92,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0.457,0.818,-4.589,0.044,0.0508,0.00137,0.113,0.294,116.002,201,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0.524,0.889,-7.178,0.0343,0.0243,0.925,0.127,0.192,113.014,166,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
0.513,0.866,-4.638,0.0289,0.00174,7.2e-06,0.166,0.0843,126.997,232,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
0.492,0.56,-7.575,0.042,0.00629,2.01e-06,0.129,0.125,126.994,236,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
0.701,0.722,-6.025,0.0486,0.178,0.000494,0.177,0.206,112.021,210,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.569,0.761,-6.155,0.0345,0.0119,0.000339,0.155,0.0794,87.992,180,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.87,0.561,-10.388,0.186,0.0124,0,0.103,0.691,100.458,156,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0.735,0.446,-10.232,0.109,0.0071,1.93e-05,0.173,0.121,150.915,199,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0.729,0.708,-4.74,0.0715,0.0877,0.794,0.306,0.831,150.164,200,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
0.611,0.52,-5.445,0.0346,0.0132,0,0.105,0.771,159.927,150,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
0.494,0.951,-4.237,0.132,0.000569,0,0.327,0.441,160.025,202,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
0.596,0.854,-5.114,0.463,0.0169,0,0.124,0.152,120.274,203,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0.425,0.771,-4.293,0.0629,0.0312,0,0.165,0.213,142.034,151,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0.902,0.72,-2.776,0.347,0.26,0,0.0749,0.805,90.059,193,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.731,0.851,-3.58,0.21,0.00354,0,0.38,0.391,132.06,119,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
0.581,0.863,-2.855,0.0648,0.275,0,0.403,0.519,132.085,183,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
0.611,0.688,-5.688,0.341,0.0264,0,0.251,0.393,178.462,132,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
0.728,0.584,-7.255,0.176,0.0524,0,0.0658,0.365,161.9,167,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0.66,0.775,-4.926,0.172,0.0553,0,0.129,0.635,157.036,158,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0.692,0.785,-4.995,0.178,0.013,0,0.288,0.531,78.437,206,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
0.599,0.857,-5.7,0.299,0.0321,0,0.4,0.469,187.985,152,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0.745,0.715,-3.368,0.245,0.128,0,0.182,0.342,94.513,136,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
0.885,0.641,-4.455,0.351,0.175,0,0.234,0.201,91.167,143,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
0.761,0.672,-5.887,0.212,0.0893,9.77e-06,0.14,0.437,160.077,192,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.66,0.876,-4.506,0.322,0.171,0,0.214,0.463,139.986,148,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
0.605,0.789,-4.833,0.288,0.053,0,0.735,0.731,189.866,138,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
0.724,0.685,-4.068,0.321,0.114,0,0.1,0.862,150.016,143,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0.779,0.767,-5.462,0.258,0.00214,0,0.102,0.523,91.981,155,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
0.82,0.691,-6.646,0.0723,0.0115,0,0.344,0.683,142.027,136,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.775,0.853,-5.867,0.298,0.0785,0,0.147,0.537,92.938,121,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0.448,0.66,-7.642,0.276,0.709,0.000465,0.351,0.119,124.767,554,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
0.74,0.586,-8.244,0.0483,0.361,7.24e-06,0.083,0.523,79.997,204,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
0.744,0.394,-9.828,0.419,0.0895,6.66e-06,0.279,0.658,142.961,187,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
